"","ages","Stimulating","Anxiety_producing","Calming","Love","Blissful","Energetic","Sociable","Charming","Bizarre","Intense","Difficult","Funny","Interesting","Visual","Spiritual","Enhanced_body_feeling","Bodily_discomfort","Enhanced_imagination","Rational","Irritating","Confusing","Fast_paced","Trivial","Long_lasting","Emotional","Constructive","Self_centered","Dangerous","Constructive","Erotic","Worth_it","Sneaky","Too_much","Sobering","Spaced_out","Colorful","Relieving","Insightful","Profound","Mystical","Incredible","Life_changing","Impairing","Subtle","Easy_to_overdoo","Hard_to_resist","Intellectual","Enhances_aesthetics","Digital","Artistic","Enjoyment_of_music","Delight_in_food","substance","times_taken","samples"
"43",16,1,-1,2,2,1,0,-2,-1,-1,2,-1,2,2,2,2,2,-1,2,-2,-2,-1,-2,-1,2,1,0,2,-2,1,-2,2,-2,-2,-2,2,2,2,2,2,2,1,2,0,-2,-2,-1,2,2,0,2,2,-2,"LSD",2,74
"44",30,2,1,-1,0,0,2,-1,0,0,1,-1,0,1,-2,0,-2,0,1,2,0,-2,2,-1,1,-1,2,-1,-1,2,0,2,-1,-2,0,-2,-2,1,2,1,0,1,-1,-2,1,-1,0,2,-2,0,1,0,-2,"D-Amphetamine",7,12
"45",20,1,0,-1,1,1,1,-1,0,2,2,0,1,2,2,1,1,1,2,1,-1,1,1,-2,2,1,1,0,1,1,-2,2,0,0,-2,1,2,0,2,2,1,2,2,-1,-2,0,-2,2,2,1,2,1,-2,"LSD",4,74
"46",16,2,1,-2,-1,-2,2,2,1,0,-1,0,1,2,-2,0,1,-2,2,0,1,-1,1,2,2,-1,1,0,-2,1,2,2,-1,-2,0,-1,-2,0,1,2,-2,1,-1,-2,1,1,-1,0,-2,0,2,1,-2,"D-Amphetamine",3,12
"47",20,0,1,1,0,1,-1,-2,0,2,2,2,0,2,2,2,2,2,2,0,0,2,2,-2,-2,0,0,0,0,0,-2,2,0,2,-2,2,2,0,0,2,2,2,2,2,-2,2,-2,0,2,2,0,0,-2,"DMT",1,17
"48",24,-1,2,-2,-2,-1,-2,-2,-1,2,2,2,1,2,1,2,-1,2,2,-2,1,2,2,-2,-1,1,-2,1,-1,-2,-2,1,1,2,-1,2,1,-2,1,2,2,2,1,2,-2,1,-2,1,-1,-2,1,-1,-2,"Salvia",2,10
"49",20,-1,1,1,1,1,-1,-2,1,2,2,1,1,2,1,2,1,-1,1,-1,-1,2,0,-2,1,2,1,0,1,0,-2,2,1,1,-2,2,1,0,1,2,2,2,2,0,-2,2,0,0,1,0,1,2,-2,"Psilocybin",2,39
"50",20,-1,-1,1,1,1,2,0,0,2,0,0,1,2,1,2,1,0,2,-1,0,1,-1,0,2,1,1,-1,-2,1,1,1,-2,-2,0,1,2,2,2,2,2,2,2,-2,-1,-1,-1,2,-1,-1,1,2,1,"LSD",3,74
"51",20,1,2,1,1,1,1,1,1,1,1,1,2,1,0,1,1,-1,1,1,-2,1,-1,-1,-1,1,1,-1,-2,1,1,2,1,-1,-2,1,0,0,1,0,1,0,0,0,0,-1,2,0,1,0,1,2,2,"Marijuana",7,64
"52",20,-1,2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,1,0,2,2,2,-2,1,2,1,-2,-2,-2,-2,0,1,0,-2,-2,2,2,-2,2,0,-2,-2,0,2,2,2,2,-2,2,-2,-2,2,0,0,0,0,"Salvia",1,10
"53",20,1,1,1,0,0,-1,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,-2,0,0,0,0,0,0,-2,0,1,-1,0,0,0,0,0,0,0,0,0,1,-1,2,0,0,0,0,0,-1,"Tobacco",6,7
"54",31,2,-2,2,2,2,2,2,2,0,1,-1,2,1,0,0,2,-2,2,1,-1,-1,-1,0,1,0,2,0,0,2,1,2,0,0,0,1,1,2,2,1,0,1,2,-2,0,0,0,2,0,2,1,2,2,"Marijuana",7,64
"55",19,1,-2,2,1,0,0,2,1,2,2,1,2,0,-2,0,1,-2,0,-2,0,1,0,0,1,1,0,0,1,1,-2,1,2,-1,-2,-1,0,2,0,0,0,0,1,2,1,2,2,0,0,0,0,2,1,"Alcohol",6,34
"56",30,0,0,2,1,1,0,0,-1,1,1,-2,2,2,-1,-1,2,-2,2,0,-1,1,-2,0,-1,-1,1,0,-2,1,-1,2,1,-2,-2,1,2,2,1,1,0,0,1,0,0,-1,1,1,0,-2,2,2,2,"Marijuana",7,64
"57",19,2,0,1,2,2,2,2,2,2,1,-1,1,1,0,2,2,1,2,0,-2,0,2,-2,2,2,2,-2,0,2,2,2,0,1,1,-1,2,1,2,2,2,2,1,2,0,-1,-2,1,2,1,2,2,-2,"MDMA",3,45
"58",63,2,1,0,0,0,2,2,0,2,2,1,2,2,2,0,1,2,2,-2,-2,1,1,-2,1,0,0,0,2,0,0,2,-2,-2,-2,1,2,-2,1,1,0,1,1,1,-2,2,0,-2,1,1,1,1,-2,"LSD",3,74
"59",24,2,-2,2,2,2,0,2,1,0,2,0,0,0,1,1,2,1,1,-1,0,1,0,1,1,2,0,-1,-1,1,0,2,-1,0,-2,2,2,2,1,1,1,1,1,1,-2,1,2,-1,1,1,1,2,-2,"MDMA",5,45
"60",18,2,1,1,2,1,1,2,1,-2,1,0,0,1,0,1,2,0,1,0,-2,-1,0,-1,0,2,-1,-2,-1,-1,1,0,-2,0,-2,-1,0,0,1,1,1,2,1,0,-1,0,0,0,1,0,1,2,-1,"MDMA",5,45
"61",26,2,-1,1,0,1,2,1,-1,2,0,-1,2,2,2,1,2,-2,2,0,-2,1,0,-1,1,1,2,0,-2,1,-1,2,-2,-1,-1,1,1,0,2,1,1,2,1,0,-1,0,-2,0,2,-2,1,2,-1,"LSD",4,74
"62",34,2,-1,0,2,2,2,1,1,-1,2,0,1,2,2,2,2,-1,2,2,-1,-1,-2,-2,1,2,2,-2,-2,2,2,2,-2,-1,-1,-1,2,1,2,2,2,2,2,-1,-2,1,0,2,2,0,2,2,0,"LSD",1,74
"63",26,2,1,-1,1,0,1,2,1,-2,1,0,0,1,-2,-2,2,1,0,-1,-2,1,2,0,-1,2,1,1,-2,1,1,0,0,1,-2,-2,-1,-1,0,-1,-1,0,1,0,0,1,-2,-2,1,-1,-1,2,-2,"MDMA",4,45
"64",33,2,1,1,2,2,2,-2,1,2,2,1,2,2,2,2,2,-1,2,-2,0,1,2,-2,-2,2,2,-2,-2,2,0,2,1,1,-2,2,2,2,2,2,2,2,2,-2,-2,-2,0,2,2,2,2,2,-2,"DMT",4,17
"65",24,1,2,1,0,1,-1,1,0,0,1,0,2,1,1,0,2,-1,2,-1,-1,-1,1,1,2,1,-1,0,-2,-1,1,2,0,-2,-1,2,1,2,2,1,1,2,0,-1,-2,0,1,0,2,0,2,2,2,"Marijuana",6,64
"66",24,2,0,0,0,2,2,1,2,-2,1,0,0,1,-2,-2,1,-1,-2,2,-1,-1,2,-2,-1,-2,-2,1,1,0,2,2,2,0,1,-2,-2,-2,-2,-2,-2,1,0,-1,1,1,1,0,1,-1,-1,1,-2,"Cocaine",4,10
"67",18,-1,-2,1,0,-2,-2,2,-2,-2,0,1,2,-2,-2,-2,-2,1,-2,-2,0,0,0,1,1,0,0,0,2,-2,-2,-2,-2,0,-2,1,-2,1,-2,-2,-2,-2,-2,2,0,2,0,-2,-2,-2,-2,1,1,"Alcohol",4,34
"68",38,-2,-2,2,0,0,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,2,-2,2,0,2,0,0,0,0,0,2,1,2,2,-2,0,0,0,0,0,"Clonazepam",6,4
"69",23,-1,-2,1,-2,-1,0,2,-2,1,-1,-2,0,-1,-2,-2,-2,0,1,-1,1,1,-1,0,-1,0,-1,1,2,-1,0,-2,1,0,-2,-2,-2,0,0,-2,-2,-2,0,1,0,1,1,-1,-1,-2,-1,1,2,"Alcohol",6,34
"70",23,1,2,1,1,2,-1,0,-2,0,-1,-1,2,0,1,1,1,0,2,1,-1,1,-1,-1,1,-1,0,-1,-2,0,-1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,0,1,0,1,-2,-1,1,1,1,2,2,"Marijuana",5,64
"71",17,1,-1,0,1,0,0,1,-1,1,1,-1,1,2,2,2,2,0,2,1,-1,0,2,1,1,0,1,1,1,2,0,2,-2,0,0,2,0,1,-1,1,1,2,1,0,0,-1,-1,2,1,-1,1,1,1,"LSD",2,74
"72",23,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,0,2,1,-1,1,-1,-2,2,2,2,-1,-2,2,0,2,0,1,1,1,2,2,2,2,1,2,2,0,-1,-1,0,1,2,2,2,2,-2,"LSD",3,74
"73",23,2,-2,1,2,1,2,2,1,-2,-2,-2,-2,-2,-2,-2,0,-2,1,1,0,-2,1,2,1,-2,2,0,-2,2,-1,2,-2,-2,1,-2,-2,-2,0,-2,-2,0,-1,-2,2,-2,2,2,-2,-2,-2,0,-1,"Caffeine",7,7
"74",19,2,0,-2,2,0,2,2,2,0,2,-1,2,2,0,2,2,0,1,0,-1,-1,1,0,2,2,0,2,-2,0,1,1,0,0,0,1,1,0,2,0,-1,2,2,0,-2,2,0,0,0,-1,0,2,-2,"MDMA",3,45
"75",19,-1,1,-2,0,0,0,0,0,1,1,1,1,0,2,0,0,0,2,-2,-2,1,-1,0,2,0,0,2,0,0,-2,-1,0,1,0,1,1,-1,-1,-1,1,-1,-2,0,-2,-2,-2,-2,-2,-2,2,0,-2,"2C-B",1,8
"76",25,-2,-2,1,1,0,-1,2,2,1,-1,1,1,1,-2,-2,-2,1,-2,-1,0,0,0,0,0,1,-1,-1,-2,-1,-1,0,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-1,2,-2,-2,-2,1,-1,1,2,"Alcohol",6,34
"77",34,2,0,1,2,2,2,2,2,-2,2,-2,2,2,0,2,2,-1,2,2,-2,-2,2,-2,0,2,2,-2,0,2,2,2,-2,-2,-2,-2,1,2,2,2,2,2,2,0,-1,1,1,2,2,-2,2,2,-1,"MDMA",5,45
